time,position
29.416,247.983
29.558,247.983
0.080,247.961
0.217,248.379
0.357,249.961
0.497,252.400
0.636,255.828
0.775,260.134
0.914,265.100
1.054,270.901
1.193,277.251
1.333,284.326
1.473,291.709
1.613,299.575
1.753,308.079
1.891,316.516
2.032,325.525
2.172,334.578
2.314,344.004
2.457,353.452
2.601,362.087
2.747,371.316
2.889,378.896
3.027,385.203
3.167,390.102
3.308,393.684
3.445,395.947
3.586,396.980
3.723,396.738
3.862,395.420
4.003,393.091
4.144,389.707
4.286,385.642
4.430,380.566
4.574,375.403
4.720,370.107
4.864,365.669
5.008,361.934
5.153,358.813
5.296,356.726
5.440,355.693
5.580,355.847
5.723,356.792
5.867,358.484
6.010,360.593
6.154,363.076
6.299,365.647
6.443,368.064
6.588,370.020
6.734,371.140
6.879,372.568
7.024,373.206
7.169,373.249
7.314,372.942
7.460,372.217
7.605,371.272
7.751,370.151
7.896,369.141
8.043,368.086
8.188,367.251
8.332,366.592
8.478,366.108
8.622,365.911
8.769,365.867
8.911,366.086
9.056,366.306
9.201,366.658
9.346,366.987
9.490,367.295
9.636,367.625
9.781,367.866
9.927,368.064
10.074,368.174
10.224,368.218
